runtag1         	runtag2         	topic	unweighted_recall weighted_recall precision
3unique2        	wistudt2qd      	all 	      0.0128	      0.0490	    0.2927
EM100           	EM50            	all 	      0.2828	      0.4706	    0.4234
EM100           	hltcoeTTG0      	all 	      0.2927	      0.4716	    0.4396
EM100           	hltcoeTTG1      	all 	      0.2438	      0.3663	    0.4763
EM100           	hltcoeTTG2      	all 	      0.2493	      0.3899	    0.4556
EM100           	hltcoeTTG3      	all 	      0.2768	      0.4207	    0.4543
EM100           	ICTNETAP3       	all 	      0.1564	      0.3492	    0.4345
EM100           	ICTNETAP4       	all 	      0.1627	      0.3553	    0.4443
EM100           	ICTNETRunSP3    	all 	      0.1683	      0.2512	    0.4446
EM100           	ICTNETRUNSP4    	all 	      0.1756	      0.2741	    0.4408
EM100           	JufeLdkeSum1    	all 	      0.3516	      0.5475	    0.3468
EM100           	JufeLdkeSum2    	all 	      0.2334	      0.3700	    0.3876
EM100           	JufeLdkeSum3    	all 	      0.1185	      0.2245	    0.3779
EM100           	PrisTTG2014a    	all 	      0.2449	      0.3954	    0.4176
EM100           	PrisTTG2014b    	all 	      0.2474	      0.3826	    0.4249
EM100           	PrisTTG2014c    	all 	      0.2522	      0.4494	    0.4150
EM100           	PrisTTG2014e    	all 	      0.2652	      0.4697	    0.4114
EM100           	QUQEd10t15TTgCL 	all 	      0.2216	      0.3623	    0.4243
EM100           	QUQEd5t25TTgBL  	all 	      0.2806	      0.4426	    0.4038
EM100           	QUTmpDecayTTgCL 	all 	      0.2249	      0.3785	    0.4283
EM100           	QUTqrmTTgBL     	all 	      0.2446	      0.3970	    0.4382
EM100           	SCIAI124aTTG    	all 	      0.0675	      0.0947	    0.5539
EM100           	SCIAI14aTTG     	all 	      0.0684	      0.0963	    0.5594
EM100           	SCIAI3am14aTTG  	all 	      0.0590	      0.0798	    0.4960
EM100           	SCIAI3cm4aTTG   	all 	      0.0416	      0.0823	    0.4817
EM100           	SM100           	all 	      0.2027	      0.3286	    0.3910
EM100           	SM50            	all 	      0.1658	      0.3030	    0.4834
EM100           	SR              	all 	      0.0453	      0.1171	    0.6298
EM100           	SRTD            	all 	      0.0496	      0.1414	    0.6693
EM100           	SRTL            	all 	      0.0612	      0.1610	    0.6964
EM100           	Standard        	all 	      0.0471	      0.1215	    0.5966
EM100           	TTGPKUICST1     	all 	      0.2904	      0.4221	    0.4152
EM100           	TTGPKUICST2     	all 	      0.2169	      0.3442	    0.5397
EM100           	TTGPKUICST3     	all 	      0.2511	      0.3850	    0.4886
EM100           	TTGPKUICST4     	all 	      0.2534	      0.3731	    0.4875
EM100           	udelRunTTG1     	all 	      0.1166	      0.2473	    0.4391
EM100           	udelRunTTG2     	all 	      0.1041	      0.2177	    0.4445
EM100           	udelRunTTG3     	all 	      0.1208	      0.2492	    0.4547
EM100           	udelRunTTG4     	all 	      0.1032	      0.2379	    0.4427
EM100           	UDInfoMMR5      	all 	      0.0480	      0.1176	    0.5927
EM100           	UDInfoMMRA      	all 	      0.0452	      0.1118	    0.5682
EM100           	UDInfoMMRWC5    	all 	      0.0527	      0.1270	    0.6264
EM100           	UDInfoMMRWCA    	all 	      0.0519	      0.1242	    0.6299
EM100           	wistudt2bcd     	all 	      0.0314	      0.1243	    0.4330
EM100           	wistudt2bd      	all 	      0.0667	      0.1821	    0.5510
EM100           	wistudt2qcd     	all 	      0.0244	      0.0734	    0.3103
EM100           	wistudt2qd      	all 	      0.0424	      0.0917	    0.3754
EM50            	hltcoeTTG0      	all 	      0.2480	      0.4181	    0.4926
EM50            	hltcoeTTG1      	all 	      0.1935	      0.3006	    0.5429
EM50            	hltcoeTTG2      	all 	      0.2003	      0.3199	    0.5185
EM50            	hltcoeTTG3      	all 	      0.2178	      0.3492	    0.5119
EM50            	ICTNETAP3       	all 	      0.1326	      0.3027	    0.5222
EM50            	ICTNETAP4       	all 	      0.1359	      0.3079	    0.5393
EM50            	ICTNETRunSP3    	all 	      0.1336	      0.2193	    0.5459
EM50            	ICTNETRUNSP4    	all 	      0.1380	      0.2300	    0.5411
EM50            	JufeLdkeSum1    	all 	      0.2750	      0.4708	    0.4247
EM50            	JufeLdkeSum2    	all 	      0.1887	      0.3142	    0.4900
EM50            	JufeLdkeSum3    	all 	      0.0827	      0.1618	    0.4412
EM50            	PrisTTG2014a    	all 	      0.1870	      0.3141	    0.4808
EM50            	PrisTTG2014b    	all 	      0.1923	      0.3190	    0.4834
EM50            	PrisTTG2014c    	all 	      0.2079	      0.3951	    0.4841
EM50            	PrisTTG2014e    	all 	      0.2165	      0.4113	    0.4735
EM50            	QUQEd10t15TTgCL 	all 	      0.1882	      0.3146	    0.4799
EM50            	QUQEd5t25TTgBL  	all 	      0.2390	      0.3944	    0.4613
EM50            	QUTmpDecayTTgCL 	all 	      0.1882	      0.3431	    0.5023
